Time_s,Alt_km,Lat_deg,Lon_deg,Vel_km_s,Battery_SOC_%,Battery_Temp_K,Att_Err_deg,RW_Momentum_Nms,Angular_Rate_deg_s,Eclipse,Solar_W,CPU_Temp_K,Link_Active,Range_km,Elevation_deg,Doppler_Hz,VerifiedCmds,Attack_Active
0,999.9995549742061,0.0,0.5716127679218569,7.353696613606746,80.00162777777777,297.9999375,1.280286853613733,0.0013665284482951682,0.12802868536142165,0,272.2,307.09926745020607,0,10846.391890271223,-48.74648497140777,-24971.48503479042,4,0
10,999.9982199410015,0.0,1.1432256738839823,7.353697947090073,80.00317266176475,303.48152542951374,2.4681988861624005,0.003153315715243242,0.11882474403225719,0,266.2316470623454,311.51666381813556,0,10880.314252163726,-49.00543002697098,-24815.585508957785,6,0
20,999.9959950326111,0.0,1.7148388559155927,7.3537001694372925,80.00463672963106,308.8257215057951,3.5339608138098746,0.006682798814867915,0.10748480869636821,0,260.41288637449026,317.7526431188637,0,10914.023478266801,-49.26392959821671,-24658.671350805595,5,0
30,999.9928804694,0.0,2.286452452018861,7.353703280429094,80.00602820798137,313.6259099262001,4.510056413701032,0.007853107665122134,0.09793942520296406,0,255.1864412223533,322.9268806028148,0,10947.518193611508,-49.52197599361825,-24500.75378633939,5,0
40,999.9888765598516,0.0,2.8580666001553996,7.353707279758471,80.00734341675725,318.6694526876082,5.353853046871866,0.012091803008650117,0.09096264510443468,0,249.69503186373214,325.4000149747656,0,10980.797038439683,-49.77956133619274,-24341.84391475472,5,0
50,999.9839837005402,0.0,3.429681438232742,7.3537121670307535,80.00858528695917,320,5.894794130784722,0.01937752822214433,0.06496718296757291,0,244.41465453820112,329.7217797055534,0,11013.858668033588,-50.03667755797469,-24181.952711978847,4,0
60,999.9782023760872,0.0,4.001297104090833,7.353717941763635,80.00976366782503,320,6.12903502335917,0.026731782581788294,0.044363813941759075,0,239.84342234121792,331.84168479425296,0,11046.701752550267,-50.29331639435042,-24021.09103411209,6,0
70,999.9715331591206,0.0,4.572913735488527,7.35372460338723,80.0109026253447,320,6.047581165753151,0.03455874708377027,0.03601240512300842,0,237.00494141556467,333.2811080639428,0,11079.324976860555,-50.54946937824868,-23859.269620771523,3,0
80,999.9639767102144,0.0,5.144531470090088,7.35373215124412,80.01199341269583,320,5.69666071140468,0.041332885212624584,0.047698368093914145,0,233.53668928128994,333.74731609956586,0,11111.727040392578,-50.805127834181974,-23696.49909834009,5,0
90,999.9555337778284,0.0,5.716150445451709,7.353740584589425,80.01306306444936,320,5.112285393731512,0.04772558014314755,0.06898504941594512,0,232.01492625421238,335.2473092652572,0,11143.906656979603,-51.060282872134174,-23532.789983123945,5,0
100,999.94620519823,0.0,6.287770799008024,7.353749902590864,80.01410375380107,320,4.254553751671959,0.05598996785139281,0.10336875907946698,0,229.9296333233788,336.25626459929754,0,11175.862554712136,-51.314925381289264,-23368.152684420784,5,0
110,999.9359918954224,0.0,6.85939266805865,7.353760104328844,80.01514621171329,320,3.3247271195350594,0.06008349607005238,0.11719686851090388,0,230.05696967935833,335.7500907491328,0,11207.593475794158,-51.56904602359548,-23202.59750750175,4,0
120,999.9248948810464,0.0,7.4310161897547236,7.353771188796538,80.01620702793201,320,2.41677759551845,0.06460301927928756,0.13328205590359182,0,231.37876774865512,337.32934723265686,0,11239.098176403331,-51.82263522716083,-23036.134656509606,6,0
130,999.9129152542864,0.0,8.002641501085476,7.353783154899992,80.01723208912975,320,1.981764099978694,0.06426308038057311,0.13093425380879348,0,228.80440623767,337.86345799504716,0,11270.375426555142,-52.075683179473934,-22868.774237275622,4,0
140,999.9000542017639,0.0,8.574268738864792,7.353796001458224,80.01826590226152,320,2.2501643187423905,0.06645113317318224,0.13628485533199802,0,229.43454548679387,338.87183430623605,0,11301.424009970788,-52.328179820445335,-22700.52626005756,4,0
150,999.8863129974197,0.0,9.14589803971781,7.353809727203332,80.01930524325873,320,2.9557243612501516,0.06486868967383264,0.1282346024672953,0,229.83255179893848,337.22949721327535,0,11332.242723948784,-52.58011483526458,-22531.40064220116,6,0
160,999.8716930023957,0.0,9.717529540067526,7.353824330780624,80.02036493414785,320,3.850665119418578,0.0628922984156248,0.12200482509180753,0,231.2977440167322,336.8096765568235,0,11362.830379240098,-52.83147764706711,-22361.407210727422,5,0
170,999.8561956648973,0.0,10.289163376121424,7.35383981074874,80.0214501433732,320,4.7356371536064925,0.058617579274480455,0.1076560912577684,0,233.13506422475507,335.6031668725867,0,11393.185799926805,-53.082257409406566,-22190.555704847804,5,0
180,999.8398225200581,0.0,10.860799683858122,7.353856165579797,80.02252471975984,320,5.357609434063852,0.050073205409679945,0.07549127557829967,0,232.36949983881857,335.89604307569806,0,11423.3078233041,-53.33244299852695,-22018.855778409543,6,0
190,999.8225751897862,0.0,11.432438599014038,7.353873393659529,80.02357834764264,320,5.706744133370329,0.0434950031612828,0.05428972698961666,0,230.8612075613562,336.0039700047409,0,11453.195299765599,-53.582023005429775,-21846.31700227308,6,0
200,999.8044553826112,0.0,12.004080257070084,7.353891493287439,80.02464124829751,320,5.868208775520738,0.03715168098484913,0.02778166860042978,0,231.52884715071875,336.7780853820429,0,11482.847092691834,-53.83098572773143,-21672.94886662382,4,0
210,999.7854648935154,0.0,12.575724793238377,7.353910462676971,80.02571615486245,320,5.764072605215437,0.029472063042820747,0.016134369012114503,0,232.39327267517197,335.7040406369263,0,11512.262078341859,-54.07931916130537,-21498.76078321982,5,0
220,999.7656056037622,0.0,13.147372342448984,7.353930299955672,80.02677861256788,320,5.287949692382127,0.02085221570960746,0.05001370904211667,0,231.4969547911073,336.49276825787416,0,11541.439145747872,-54.32701099170447,-21323.762087577605,4,0
230,999.7448794807133,0.0,13.719023039336678,7.353951003165372,80.0278430453605,320,4.764820426436832,0.020598834918509352,0.05694527408519601,0,231.63916106896806,334.80267615900806,0,11570.377196612779,-54.5740485853594,-21147.96204109773,4,0
240,999.7232885776375,0.0,14.290677018227738,7.353972570262377,80.02892779030942,320,3.9206960408115012,0.013103667425572129,0.09167978698267827,0,233.10163632234372,334.5659558003162,0,11599.07514521061,-54.82041898054753,-20971.369833132012,4,0
250,999.7008350335091,0.0,14.862334413126773,7.3539949991176545,80.03003110564669,320,2.888855440899539,0.009651808120761628,0.12360206723858003,0,234.43870428320182,333.48291167912294,0,11627.531918289715,-55.06610887812875,-20793.994582994026,6,0
260,999.6775210728056,0.0,15.433995357703562,7.354018287517048,80.03115165828852,320,1.9437017722014973,0.006964459778044529,0.13835986969750083,0,235.67979021161202,333.2107772153896,0,11655.74645497866,-55.31110463204365,-20615.845341914544,6,0
270,999.6533490052898,0.0,16.005659985279948,7.35404243316148,80.03227418481146,320,1.7030968600816656,0.006719747019047669,0.14441086753507434,0,235.82190965081324,334.3009110132461,0,11683.717706694755,-55.555392239570374,-20436.93109494365,5,0
280,999.6283212257822,0.0,16.577328428816745,7.354067433667173,80.03338398070638,320,2.3868335048541023,0.004054725638067269,0.13942391997164613,0,234.90530443485704,334.3089819433399,0,11711.444637055138,-55.798957331336,-20257.260762800895,5,0
290,999.6024402139365,0.0,17.149000820900685,7.354093286565882,80.03449403892039,320,3.505212835877542,0.004216740447312359,0.1365324678115212,0,234.92419140879932,336.41315085342785,0,11738.926221790338,-56.04178516107973,-20076.843203675144,5,0
300,999.575708533991,0.0,17.720677293731406,7.3541199893051274,80.03560220711584,320,4.531802147472471,0.003132315437499872,0.12194352032531383,0,234.7881100727887,336.75393672506385,0,11766.161448660276,-56.283860595164526,-19895.687214975555,4,0
310,999.5481288345254,0.0,18.292357979108477,7.354147539248437,80.03668066506783,320,5.310168279810524,0.00925195654983312,0.10861417249200385,0,232.64897254329384,338.4147045689726,0,11793.14931737259,-56.52516810183443,-19713.801535035116,5,0
320,999.5197038482011,0.0,18.864043008418424,7.354175933675601,80.03777866796945,320,5.732981835448782,0.01777032076243983,0.08420058289328398,0,234.05620891654075,339.16204504553735,0,11819.888839503279,-56.765691740216006,-19531.19484476804,4,0
330,999.4904363914966,0.0,19.43573251262187,7.354205169782932,80.03888861318092,320,5.850866737175551,0.026093464699039108,0.07756090237087235,0,234.91605522585752,337.6490811662447,0,11846.379038419565,-57.00541514906131,-19347.87576928247,4,0
340,999.4603293644359,0.0,20.007426622240622,7.35423524468353,80.03997150887514,320,5.862282538269665,0.030017634816887226,0.06355050603182033,0,232.96848998426557,339.2925184228536,0,11872.618949204898,-57.244321535232814,-19163.852879449732,4,0
350,999.4293857503053,0.0,20.57912546734488,7.354266155407564,80.04108469435086,320,5.694136189350399,0.035572996781266554,0.05679631119968187,0,235.14935425204848,340.6457220412698,0,11898.60761858613,-57.48239366192799,-18979.13469343138,4,0
360,999.3976086153634,0.0,21.15082917754043,7.354297898902551,80.04221159109382,320,5.21902938513283,0.0444580622609668,0.08254888539741441,0,236.13656549252406,339.9938738959587,0,11924.34410486267,-57.719613836645586,-18793.729678165222,6,0
370,999.3650011085465,0.0,21.72253788195592,7.354330472033651,80.04332159821321,320,4.529773695262919,0.05246557061540455,0.10842897422042519,0,234.9205125964915,339.0522509038088,0,11949.82747783769,-57.95596389889348,-18607.64625081171,3,0
380,999.3315664611582,0.0,22.294251709230164,7.354363871583966,80.0444131294399,320,3.6915629152071703,0.05927095494422206,0.12320482329341872,0,233.59024832169388,338.2891610152526,0,11975.056818751258,-58.191425207640705,-18420.89278016146,4,0
390,999.2973079865615,0.0,22.86597078749947,7.354398094254847,80.04549540415611,320,2.8777565095379787,0.06170050404980499,0.12321331536880802,0,232.92377956649594,337.4498129261626,0,12000.031220215351,-58.42597862851654,-18233.477588005408,5,0
400,999.2622290798527,0.0,23.437695244385058,7.354433136666212,80.04660586424227,320,2.267181174939951,0.06363924810995178,0.12702054324318854,0,234.95312620331498,337.33851693632425,0,12024.749786150729,-58.65960452076003,-18045.408950468445,6,0
410,999.2263332175326,0.0,24.009425206980488,7.354468995356868,80.04771935925197,320,2.067983005115641,0.06526154993562444,0.13071828808488015,0,235.17164069918724,336.103676112275,0,12049.2116317256,-58.892282723926016,-17856.695099307588,6,0
