Time_s,Alt_km,Lat_deg,Lon_deg,Vel_km_s,Battery_SOC_%,Battery_Temp_K,Att_Err_deg,RW_Momentum_Nms,Angular_Rate_deg_s,Eclipse,Solar_W,CPU_Temp_K,Link_Active,Range_km,Elevation_deg,Doppler_Hz,VerifiedCmds,Attack_Active
0,999.9995549742061,0.0,0.5716127679218569,7.353696613606746,80.00162777777777,297.9999375,1.3332402192180222,0.0014549914089093446,0.13332402192180218,0,272.2,305.3660164505298,0,10846.391890271223,-48.74648497140777,-24971.48503479042,5,0
10,999.9982199410015,0.0,1.1432256738839823,7.353697947090073,80.00314809049782,305.10637041369193,2.5887642381048117,0.0015674501586972393,0.12562670569611334,0,264.4625158435722,309.985356799387,0,10880.314252163726,-49.00543002697098,-24815.585508957785,5,0
20,999.9959950326111,0.0,1.7148388559155927,7.3537001694372925,80.00456181433692,312.1548636432723,3.6456721933434544,0.005967587452228916,0.10601822696725889,0,256.78811641520514,313.3724526976899,0,10914.023478266801,-49.26392959821671,-24658.671350805595,4,0
30,999.9928804694,0.0,2.286452452018861,7.353703280429094,80.00591136277065,316.3986450425164,4.476307081703901,0.011341979545035337,0.08468423203847394,0,252.1674872277081,318.0752131970018,0,10947.518193611508,-49.52197599361825,-24500.75378633939,5,0
40,999.9888765598516,0.0,2.8580666001553996,7.353707279758471,80.00719684878719,320,4.9914561043415615,0.018888605030546856,0.05524866077045521,0,247.55499319142714,321.7029687745377,0,10980.797038439683,-49.77956133619274,-24341.84391475472,6,0
50,999.9839837005402,0.0,3.429681438232742,7.3537121670307535,80.00839595682557,320,5.470044182219943,0.019999122480748997,0.055153902490232026,0,241.3357787635807,325.3300794729819,0,11013.858668033588,-50.03667755797469,-24181.952711978847,3,0
60,999.9782023760872,0.0,4.001297104090833,7.353717941763635,80.00953965673837,320,5.678836670390415,0.026712214434599015,0.03678035486852904,0,237.34639372149593,326.8198091936965,0,11046.701752550267,-50.29331639435042,-24021.09103411209,4,0
70,999.9715331591206,0.0,4.572913735488527,7.35372460338723,80.01065025403209,320,5.892360999396415,0.02712915037372162,0.03957462297276063,0,234.96300514679493,330.6525102523635,0,11079.324976860555,-50.54946937824868,-23859.269620771523,3,0
80,999.9639767102144,0.0,5.144531470090088,7.35373215124412,80.01174036759605,320,6.091026784658773,0.028814151037294157,0.05144609075784394,0,233.4881766057699,331.01966124414236,0,11111.727040392578,-50.805127834181974,-23696.49909834009,4,0
90,999.9555337778284,0.0,5.716150445451709,7.353740584589425,80.01277736057803,320,6.029088035473824,0.0348881025566023,0.03912714642860507,0,229.66349470281946,332.9309408007207,0,11143.906656979603,-51.060282872134174,-23532.789983123945,5,0
100,999.94620519823,0.0,6.287770799008024,7.353749902590864,80.01381606247173,320,5.988845396194886,0.03560250272101668,0.04690462660776243,0,229.78653634750646,332.4046429089827,0,11175.862554712136,-51.314925381289264,-23368.152684420784,3,0
